ID,Name,2019 Revenue,2019 Expenses,2019 Profit,2019 Growth %,2018 Revenue,2018 Expenses,2018 Profit,2018 Growth %,2017 Revenue,2017 Expenses,2017 Profit,Industry,Description,Employees,State,City,Metro Area,Year Founded,Total Growth %,Avg Revenue (2017-2019),Avg Expenses (2017-2019),Avg Profit (2017-2019),Company Founded Longevity,Growth rate in Last 3 Years in %,Admin Spend (2019) Ratio,Marketing & Sales Spend (2019) Ratio,R&D Spend (2019) Ratio,Admin Spend (2019),Marketing & Sales Spend (2019),R&D Spend (2019),Result
124,Sumzoomit,8429576.89,7703651.95,725924.94,3.69,1797578,1610956.47,186621.53,3.53,396816.34,246995.69,149820.65,Construction,"A semi-custom production home builder that finished construction of 180 homes in 2013 and started 215. It focuses on energy efficiency, healthier indoor air quality, and sustainable building practices.",32,MO,Lee's Summit,"Kansas City, MO-KS",2014,20.24,3541323.74,3187201.37,354122.37,6,10.12,0.273,0.344,0.383,2103096.982,2650056.271,2950498.697,0
125,Goodtex,13118996.24,8860686.06,4258310.18,3.54,2886547,2735335.84,151211.16,3.7,614158.94,744188.45,-130029.51,Government Services,"An IT services provider to federal government agencies, including the Departments of Homeland Security, Defense and the Navy.",150,VA,Tysons Corner,"Washington, DC",2015,20.36,5539900.73,4113403.45,1426497.28,5,10.18,0.2229,0.3146,0.4625,1975046.923,2787571.834,4098067.303,0
126,Ranquote,7147362.91,7206339.82,-58976.91,5.08,1175494,1738027.45,-562533.45,4.28,222631.44,303813.83,-81182.39,Health,"A platform-technology company that provides devices, diagnostics, infection control and imaging for specialists treating a wide range of gastrointestinal diseases. It has over 2,500 customers and distribution in 34 distribution partners worldwide.",400,GA,Alpharetta,Atlanta,2017,31.1,2848496.12,3082727.03,-234230.92,3,15.55,0.2633,0.2342,0.5025,1897429.275,1687724.786,3621185.76,0
127,Zathtone,9953758.93,4069680.82,5884078.11,2.92,2538462,1234516.13,1303945.87,3.05,626780.74,294389.19,332391.55,Software,Provides software that makes it possible to easily deploy application delivery technology on-demand. Its Loadmaster family of products are used with many well-known business applications.,121,NY,New York,New York City,2013,14.88,4373000.56,1866195.38,2506805.18,7,7.44,0.2472,0.245,0.5078,1006025.099,997071.801,2066583.92,0
128,Vivacode,9410642.44,4117102.43,5293540.01,4.45,1726311,621374.94,1104936.06,5.17,279791.09,133109.26,146681.83,Construction,"Specializes in general contracting, project oversight, construction management, and design/build for commercial, heavy civil, and municipal jobs.",28,LA,Lake Charles,"Lake Charles, LA",2013,32.63,3805581.51,1623862.21,2181719.3,7,16.315,0.1742,0.2747,0.5511,717199.243,1130968.038,2268935.149,0
129,Canesailfax,7806395.34,5364670.32,2441725.02,4.41,1442919,915831.95,527087.05,3.51,319937.69,197781.81,122155.88,Business Products & Services,"Offers strategies, seminars, online programs and personalized business coaching to help women business owners increase their profits through marketing, mindset adjustment and strategic growth techniques.",15,SC,Murrells Inlet,"Georgetown, SC",2015,23.4,3189750.68,2159428.03,1030322.65,5,11.7,0.2713,0.252,0.4767,1455435.058,1351896.921,2557338.342,0
130,Dongcom,12477085.41,2772159.12,9704926.29,3.86,2569461,540997.24,2028463.76,4.07,506797.04,88873.38,417923.66,Retail,"Owns and operates an online store specializing in college dorm room supplies ranging from Twin XL bedding and comforters, to trunks, mini-futons, and shower caddies.",8,NY,Cheektowaga,"Buffalo-Niagara Falls, NY",2006,23.62,5184447.82,1134009.91,4050437.9,14,11.81,0.1556,0.3031,0.5413,431347.959,840241.429,1500569.732,1
131,Hatlane,8738359.78,6934957.46,1803402.33,3.06,2150478,1525291.45,625186.55,1.89,744110.03,696368.99,47741.04,Education,"Offers seminars, coaching, classes, online training, home-study courses, blogs and newsletters that teach how to earn money in real estate investment and Internet marketing.",25,CA,Walnut Creek,San Francisco,2015,10.74,3877649.27,3052205.97,825443.31,5,5.37,0.2554,0.2123,0.5323,1771188.135,1472291.469,3691477.856,0
132,Hexhouse,11221740.03,1885809.59,9335930.43,2.58,3133558,370170.05,2763387.95,0.57,1995896.82,180589,1815307.82,Software,"Creates marketing software designed to replace intrusive marketing with relevant blog posts, website content and emails. Over 10,000 companies in 65 countries use HubSpot's software.",668,MA,Cambridge,Boston,2010,4.62,5450398.28,812189.55,4638208.73,10,2.31,0.2368,0.2324,0.5308,446559.711,438262.149,1000987.73,0
133,Jobzencane,8482410.82,2379902.98,6102507.84,3.68,1811035,398437.05,1412597.95,2.37,537399.11,135331.12,402067.99,Software,"Provides software designed to crunch large sets of data and reveal analytics, insights, and patterns to business owners and strategists.",40,PA,WAYNE,Philadelphia,2015,14.78,3610281.64,971223.72,2639057.93,5,7.39,0.2179,0.3444,0.4377,518580.859,819638.586,1041683.534,0
134,Sailtech,5543509.14,4474646.71,1068862.43,3.82,1149198,969299.56,179898.44,2.95,290936.2,191395.72,99540.48,Software,Delivers software-driven cloud networking services for large data center and high-performance computing environments.,850,CA,Santa Clara,San Jose,2016,18.05,2327881.11,1878447.33,449433.78,4,9.025,0.2469,0.2489,0.5042,1104790.273,1113739.566,2256116.871,0
135,Vilacan,10916974.82,5973654.15,4943320.68,4.85,1866971,1075280.99,791690.01,3.39,425278.13,245575.82,179702.31,Retail,"Sells packaging and shipping supplies, such as tape, cardboard boxes and bubble mailers, as well as electronics accessories under its Fenzer line.",28,UT,Orem,"Provo-Orem, UT",2003,24.67,4403074.65,2431503.65,1971571,17,12.335,0.1515,0.3412,0.5073,905008.604,2038210.796,3030434.75,0
136,Stattechno,6619705.23,7082935.87,-463230.65,4.03,1316414,1081420.89,234993.11,,,,,Health,A recognized leader in pharmacogenetic testing and personalized medication management system and software with more than 25 years of DNA testing experience.,80,WA,Seattle,Seattle,2018,,,,,2,,0.231,0.3341,0.4349,1636158.186,2366408.874,3080368.81,0
137,Conin,9903489.35,6042544.62,3860944.73,3.26,2326748,943160.02,1383587.98,2.16,736312.66,507343.87,228968.79,Construction,"A full-service equipment dealership that rents, sells, and services new and used heavy construction equipment.",23,CA,Rancho Dominguez,Los Angeles,2013,12.45,4322183.34,2497682.84,1824500.5,7,6.225,0.255,0.2548,0.4902,1540848.878,1539640.369,2962055.373,0
138,Vaiaelectronics,9055902.88,6349124.52,2706778.36,3.92,1841425,1457791.6,383633.4,,,,,Energy,Sells photovoltaic solar panels and related components and provides design and installation support for residents and businesses.,6,MN,Saint Paul,Minneapolis,2018,,,,,2,,0.1833,0.2025,0.6142,1163794.525,1285697.715,3899632.28,0
139,Donelectronics,8109638.25,2313289.24,5796349.01,3.47,1814403,488652.38,1325750.62,,,,,Real Estate,A residential and commercial real estate brokerage composed of over 900 agents that offer buyers and sellers a full range of residential and commercial real estate services.,895,GA,Atlanta,Atlanta,2018,,,,,2,,0.2318,0.3216,0.4466,536220.446,743953.82,1033114.975,0
140,Rezumfind,9024010.11,3101951.55,5922058.55,5.57,1373449,378003.48,995445.52,3.45,308640.22,92019.46,216620.76,IT Services,"Offers data management, business intelligence, custom software design and development, and technology strategy services to federal government agencies, major corporations, and small to midsize companies.",50,VA,Herndon,"Washington, DC",2004,28.24,3568699.78,1190658.16,2378041.61,16,14.12,0.2175,0.3342,0.4483,674674.462,1036672.208,1390604.88,0
141,Techitom,13245600.65,2667573.13,10578027.52,3.37,3030532,573313.49,2457218.51,2.59,844159.33,153894.8,690264.53,Food & Beverage,Operates seven mobile food truck and two brick and mortar units in New York City that serve Belgian Waffles,30,NY,New York,New York City,2014,14.69,5706763.99,1131593.81,4575170.19,6,7.345,0.1489,0.3384,0.5127,397201.639,902706.747,1367664.744,1
142,Bamtexon,12577935.67,4253254.3,8324681.37,3.21,2989750,897521.54,2092228.46,2.18,940172.96,188272.11,751900.85,Consumer Products & Services,"A ticket distribution partner for entertainment venues, professional sports teams, university athletic departments, concert promoters, and event producers.",10,CA,Tustin,Los Angeles,2017,12.38,5502619.54,1779682.65,3722936.89,3,6.19,0.189,0.289,0.522,803865.063,1229190.493,2220198.745,0
143,Xx--Fase,9048980.94,3944876.72,5104104.23,4.37,1684371,755853.45,928517.55,3.7,358376.81,147441.62,210935.19,IT Services,An IT staffing and placement company with three locations.,430,TN,Nashville,Nashville,2016,24.25,3697242.92,1616057.26,2081185.66,4,12.125,0.2745,0.2466,0.4789,1082868.66,972806.599,1889201.461,0
144,Spandom,9127162.59,3885105.74,5242056.85,4.6,1628900,693573.45,935326.55,4.31,306760.83,216204.21,90556.62,Manufacturing,"A custom manufacturer of furniture that collaborates with clients through the engineering, prototyping, fabrication, and installation phases.",13,NY,Brooklyn,New York City,2014,28.75,3687607.81,1598294.47,2089313.34,6,14.375,0.187,0.3191,0.4939,726514.773,1239737.242,1918853.725,0
145,Zimstrip,5908577.15,3106150.34,2802426.81,2.13,1890439,995087.14,895351.86,,,,,Business Products & Services,"A national mission critical service provider that maintains and repairs the air conditioning, power supply and fire suppression systems of critical telecom, data center and health care facilities.",13,TX,Irving,Dallas,2018,,,,,2,,0.1686,0.3371,0.4943,523696.947,1047083.28,1535370.113,0
146,Stiming,4779076.32,594697.8,4184378.53,4.63,848376,116134.38,732241.62,,,,,IT Services,"Offers enterprise colocation, dedicated servers, virtualization, cloud hosting, and other data center services. 90% of revenue comes from our 4 main data center locations of Buffalo, Chicago, Dallas, and Los Angeles.",24,NY,Williamsville,"Buffalo-Niagara Falls, NY",2018,,,,,2,,0.2188,0.3286,0.4526,130119.879,195417.697,269160.224,0
147,Tripplehow,8992759.41,5398171.54,3594587.87,3.74,1896249,1338362.76,557886.24,3.14,458031.16,336284.66,121746.5,Business Products & Services,"Provides criminal records to employment screening, tenant screening, and risk mitigation providers nationwide.",66,VA,Purcellville,"Washington, DC",2016,18.63,3782346.52,2357606.32,1424740.2,4,9.315,0.2719,0.2889,0.4392,1467762.842,1559531.758,2370876.94,0
148,E-Can,6218086.33,4958881.02,1259205.31,4.59,1113058,585580.64,527477.36,3.83,230446.79,212461.24,17985.55,Financial Services,"Offers mortgage loans through VA, FHA, and conventional loans in all fifty states, while protecting consumer privacy and exceeding regulatory compliance standards imposed by regulatory agencies.",1628,NJ,Mount Laurel,Philadelphia,2017,25.98,2520530.37,1918974.3,601556.07,3,12.99,0.2852,0.3433,0.3715,1414272.867,1702383.854,1842224.299,0
149,Ganjadox,9834266.38,3615766.39,6218499.99,3.64,2118017,558230.41,1559786.59,3.66,454510.09,107767.49,346742.6,Human Resources,Provides flexible staffing in the skilled construction trades to contractors in the Southeast as well as on-site OSHA and other construction safety services.,2800,NC,Charlotte,Charlotte,2016,20.64,4135597.82,1427254.76,2708343.06,4,10.32,0.2241,0.322,0.4539,810293.248,1164276.778,1641196.364,0
150,Volhouse,9359151.16,3627535.85,5731615.31,5.38,1465945,538923.13,927021.87,7.78,166964.12,71077.68,95886.44,Business Products & Services,"Designs and installs a wide variety of storage and material handling services including medication carts, pharmacy fixtures and mobile shelving.",8,SC,Lexington,"Columbia, SC",2014,55.05,3664020.09,1412512.22,2251507.87,6,27.525,0.1475,0.3187,0.5338,535061.538,1156095.675,1936378.637,0
151,Tonjob,6475261.38,4364774.96,2110486.42,3.18,1548426,2154127.42,-605701.42,1.9,533940,1471250.84,-937310.84,Financial Services,Provides investment consulting services to the retirement plan industry.,87,CA,Santa Barbara,"Santa Barbara-Santa Maria-Goleta, CA",2014,11.13,2852542.46,2663384.41,189158.05,6,5.565,0.1572,0.2421,0.6007,686142.624,1056712.018,2621920.318,0
152,Flextone,8335149.24,4494384.34,3840764.9,4.69,1464129,745166.53,718962.47,5.11,239628.31,148695.57,90932.74,Financial Services,"A mortgage lender that underwrites and services agency- and government-backed mortgage assets, offering numerous Fannie Mae, Freddie Mac, FHA, VA, and USDA residential mortgage products.",250,FL,Boca Raton,Miami,2014,33.78,3346302.18,1796082.15,1550220.04,6,16.89,0.232,0.3224,0.4456,1042697.167,1448989.511,2002697.662,0
153,Hatelectronics,9145449.94,6303001.73,2842448.21,3.89,1870672,1309551.84,561120.16,2.45,542223.77,472896.72,69327.05,Advertising & Marketing,Provides performance marketing services such as performance-based advertising and online marketing analytics to customers around the world.,15,FL,Palm Beach Gardens,Miami,2015,15.87,3852781.9,2695150.1,1157631.81,5,7.935,0.1988,0.2289,0.5723,1253036.744,1442757.096,3607207.89,0
154,Roundgreen,7002831.87,2338662.55,4664169.31,2.97,1763935,835311.6,928623.4,0.79,985438.55,469295.88,516142.67,Logistics & Transportation,"An intermodal trucking company that also has a third-party logistics business and serves steamships, railroads and beneficial cargo owners.",240,OH,portage,"Toledo, OH",2007,6.11,3250735.14,1214423.34,2036311.79,13,3.055,0.2671,0.2154,0.5175,624656.767,503747.913,1210257.87,0
155,Lineity,8621836.92,1359224.25,7262612.67,5.35,1357066,218228.28,1138837.72,5.78,200157.23,32061.66,168095.57,Government Services,"Provides program management, business process re-engineering, software development and systems engineering services to Federal agencies.",113,MA,Billerica,Boston,2010,42.08,3393020.05,536504.73,2856515.32,10,21.04,0.2575,0.2814,0.4611,350000.244,382485.704,626738.302,0
156,Voyadexon,8913061.18,6763554.39,2149506.79,3.87,1829183,2099255.37,-270072.37,2.35,546024.78,492781.87,53242.91,Health,A pediatric home health services agency with a specialty in private duty nursing and skilled nursing visits for infants and children (ages birth through 20 years).,545,TX,Dallas,Dallas,2014,15.32,3762756.32,3118530.54,644225.78,6,7.66,0.2734,0.289,0.4376,1849155.77,1954667.219,2959731.401,0
157,Xn-Media,7863279.02,3975968.19,3887310.82,3.3,1830316,1128460.58,701855.42,2.25,563174.15,314939.55,248234.6,Health,"Connects patients with quality physicians, hospitals and other health specialists and facilities. An online doctor selection site enables patients choose physicians and rate the ones they've visited.",104,NJ,Lyndhurst,New York City,2016,12.96,3418923.06,1806456.11,1612466.95,4,6.48,0.2467,0.2543,0.499,980871.352,1011088.711,1984008.127,0
158,Drilldrill,8800619.95,2785798.89,6014821.06,5.6,1333734,405323.89,928410.11,5.71,198768.11,54586.27,144181.84,Software,"Develops a platform for time and expense tracking that integrates with numerous types of accounting software and is used by staffing agencies, professional services businesses and organizations that need to comply with government regulations.",30,CA,San Francisco,San Francisco,2014,43.28,3444374.02,1081903.02,2362471,6,21.64,0.2058,0.2392,0.555,573317.412,666363.094,1546118.384,0
159,Tristone,11755980.04,3476281.12,8279698.92,4.67,2071597,505496.51,1566100.49,3.56,454297.59,198293.43,256004.16,Construction,"Provides full-service construction, renovation, general contracting and professional engineering services for all levels of government as well as the private sector.",43,MD,Millersville,Baltimore,2017,24.88,4760624.88,1393357.02,3367267.86,3,12.44,0.2789,0.2222,0.4989,969534.804,772429.665,1734316.651,1
160,Goodmatlab,8388784.08,3000547.97,5388236.11,4.65,1483650,584573.68,899076.32,5.35,233645.67,97421.86,136223.81,Human Resources,"Provides staffing and recruiting, outsourced payroll services, event staffing, customer service, and sales training.",8,CO,Loveland,"Fort Collins-Loveland, CO",2017,34.9,3368693.25,1227514.5,2141178.75,3,17.45,0.2114,0.3049,0.4837,634315.841,914867.076,1451365.053,0
161,Streetelectrics,7418921.81,2890718.66,4528203.16,4.09,1458580,737093.79,721486.21,3.66,313000,156043.33,156956.67,Insurance,"Operates a free-membership website for consumers that helps them find the best rates and coverage on auto, home and life insurance.",340,MA,Boston,Boston,2015,22.7,3063500.6,1261285.26,1802215.35,5,11.35,0.2228,0.3391,0.4381,644052.117,980242.698,1266423.845,0
162,Yeartechno,12883295.84,6664374.09,6218921.76,3.4,2926729,1651804.4,1274924.6,3.55,643237.14,379600.64,263636.5,Media,"Enables live streaming event coverage, allowing anyone to broadcast live to the Web. LiveStream's clients include Facebook and the New York Times.",143,NY,New York,New York City,2016,19.03,5484420.66,2898593.04,2585827.62,4,9.515,0.2137,0.271,0.5153,1424176.743,1806045.378,3434151.969,0
163,Spanquadin,10820182.98,6501246.35,4318936.64,3.91,2205226,1087053.78,1118172.22,2.77,584940.58,339496.38,245444.2,Advertising & Marketing,"Provides digital marketing and PR consulting services, combining public relations, social media, and SEO for a broad range of clients.",14,MO,Saint Louis,"St. Louis, MO-IL",2013,17.5,4536783.19,2642598.84,1894184.35,7,8.75,0.1984,0.2073,0.5943,1289847.276,1347708.368,3863690.706,0
164,Treeelectrics,12208677.7,4536775.01,7671902.68,4.64,2164056,1017212.23,1146843.77,4.65,383018.76,162278.73,220740.03,Government Services,"Provides IT administrative, intelligence/imagery analysis and contract administration support services to the federal government. Its clients include the Department of Defense, Veterans Affairs and Homeland Security.",485,VA,Clarksville,,2017,30.87,4918584.15,1905421.99,3013162.16,3,15.435,0.1515,0.2522,0.5963,687321.414,1144174.658,2705278.938,0
165,Tontam,7635931.7,7119416.21,516515.5,2.84,1987821,1992514.96,-4693.96,0.62,1227050,458858.64,768191.36,Construction,Provides HVAC installation and repair along with a range of other home services with a promise of exceptional customer service and quality work.,26,VA,Ashburn,"Washington, DC",2011,5.22,3616934.23,3190263.27,426670.97,9,2.61,0.2563,0.302,0.4417,1824706.375,2150063.695,3144646.14,0
166,Ganjatam,11195183.47,5170146.75,6025036.72,2.56,3145449,1342991.63,1802457.37,2.02,1041539.4,1689508.94,-647969.54,IT Services,"A global IT services providers specializing in enterprise software. Provides expertise in healthcare, public sector, manufacturing, food & beverage and retail/fashion industries.",70,NJ,Iselin,New York City,2013,9.75,5127390.62,2734215.77,2393174.85,7,4.875,0.2124,0.2178,0.5698,1098139.17,1126057.962,2945949.618,0
167,Sumice,6697300.27,5654471.97,1042828.3,4.55,1206056,1011812.55,194243.45,4.42,222519.56,185375.22,37144.34,Retail,"Designs and sells environmentally-friendly home goods, vacation accessories and resort apparel made from bamboo fibers.",318,UT,Sandy,Salt Lake City,2017,29.1,2708625.28,2283886.58,424738.7,3,14.55,0.1443,0.3399,0.5158,815940.305,1921955.023,2916576.642,0
168,Hayit,8173549.94,3361840.57,4811709.36,2.42,2386868,1754963.78,631904.22,3.5,530415.11,475690.04,54725.07,Advertising & Marketing,Provides a platform for hyper-local daily deals that help local businesses reach local customers and supports dozens of non-profits and neighborhood schools.,2,CA,Westlake Village,Los Angeles,2016,14.41,3696944.35,1864164.8,1832779.55,4,7.205,0.2981,0.314,0.3879,1002164.674,1055617.939,1304057.957,0
169,Technostreet,4749093.52,6620300.85,-1871207.33,4.09,932549,1147595.2,-215046.2,,,,,Manufacturing,Provides automotive companies with personnel trained in containment and inspection services. Clients also include aerospace suppliers in the southeastern and midwestern United States.,773,AL,Bessemer,"Birmingham-Hoover, AL",2018,,,,,2,,0.2669,0.3321,0.401,1766958.297,2198601.912,2654740.641,0
170,Haystreet,7161498.16,6702625.92,458872.24,3.92,1455304,1353979.73,101324.27,4.28,275625.76,336788.63,-61162.87,Media,"Creates and curates custom art packages for hospitality and healthcare projects, including photography, abstract drawings and paintings and 3D pieces.",23,NC,Carrboro,"Durham, NC",2017,24.98,2964142.64,2797798.09,166344.55,3,12.49,0.1888,0.3268,0.4844,1265455.774,2190418.151,3246751.996,0
171,Contandax,9068409.21,2665064.68,6403344.53,3.57,1984493,469542.49,1514950.51,,,,,Real Estate,"Operates a private real estate investment trust, focusing on the acquisition and operation of apartment communities in the Dallas/Forth Worth and Houston areas.",59,TX,Addison,Dallas,2018,,,,,2,,0.2074,0.301,0.4916,552734.415,802184.469,1310145.797,0
172,Jayquote,9318364.4,1738822.26,7579542.14,2.37,2768177,375159.39,2393017.61,2.67,754271.66,99419.16,654852.5,Environmental Services,"Provides green cleaning, carbon footprint auditing, facilities and waste management, health care housekeeping, and logistics management services to government, private, and commercial organizations nationwide.",296,CA,Concord,San Francisco,2013,11.35,4280271.02,737800.27,3542470.75,7,5.675,0.2868,0.233,0.4802,498694.224,405145.587,834982.449,0
173,Insaoplex,10992478.48,3355302.74,7637175.74,4.77,1903822,484852.29,1418969.71,4.31,358535.22,86805.89,271729.33,Security,"Specializes in information security, governance, and compliance.",20,CA,Lake Forest,Los Angeles,2013,29.66,4418278.57,1308986.97,3109291.59,7,14.83,0.1539,0.3252,0.5209,516381.092,1091144.451,1747777.197,0
174,Vivaex,9398946.71,447105.03,8951841.68,2.69,2548391,133007.14,2415383.86,1.18,1168986.7,67613.61,1101373.09,Consumer Products & Services,"Caters to the collectibles industry, specializing in the wholesale provision of hobby supplies (comics, coins, and trading cards) as well as sports licensed merchandise.",9,WA,Vancouver,"Portland, OR",2016,7.04,4372108.14,215908.59,4156199.54,4,3.52,0.2352,0.2065,0.5583,105159.103,92327.189,249618.738,0
175,Vivadom,6190811.62,3656514.11,2534297.51,2.5,1770023,1329168.55,440854.45,2.69,479681.03,329638.12,150042.91,Software,"Develops and operates OfficeAutopilot, an integrated platform that allows entrepreneurs to start, systematize and scale their businesses. It features a customer relationship management system, membership sites and WordPress hosting and business automation tools.",72,CA,Santa Barbara,"Santa Barbara-Santa Maria-Goleta, CA",2014,11.91,2813505.22,1771773.59,1041731.62,6,5.955,0.2313,0.2753,0.4934,845751.714,1006638.334,1804124.062,0
176,Gravefan,10932711.9,2591819.72,8340892.18,4.33,2052091,555805.19,1496285.81,3.07,504199.26,114644.63,389554.63,Business Products & Services,"A business process outsourcer that offers inbound and outbound call services, Web chat, data entry, and quality assurance services from two call center locations.",300,MD,Bethesda,"Washington, DC",2016,20.68,4496334.05,1087423.18,3408910.87,4,10.34,0.2749,0.2795,0.4456,712491.241,724413.612,1154914.867,1
177,Gravecon,9477347.1,6237986.96,3239360.13,4.78,1640491,915759.22,724731.78,5,273415.17,191290.31,82124.86,Food & Beverage,Purchases overstock and surplus wines directly from vineyards and wineries around the world so that wineries and wine producers can manage overstock inventory while retaining anonymity and maintaining high-end prices for original stock.,28,MA,Allston,Boston,2014,33.66,3797084.42,2448345.5,1348738.92,6,16.83,0.1972,0.2673,0.5355,1230131.029,1667413.914,3340442.017,0
178,Groovecorporation,6812340.37,1268067.04,5544273.33,4.71,1192557,239032.42,953524.58,3.86,245382.1,35174.07,210208.03,Advertising & Marketing,Targets and optimizes mobile and web video advertising inventory through its real-time media buying platform.,25,NJ,Toms River,New York City,2015,26.76,2750093.16,514091.18,2236001.98,5,13.38,0.1695,0.3323,0.4982,214937.363,421378.677,631750.999,0
179,Hatvollex,7410580.88,5898202.49,1512378.39,4.25,1412481,975135.94,437345.06,3.28,330018.93,226291.32,103727.61,IT Services,An IT resource management and project implementation company.,75,TX,FRISCO,Dallas,2006,21.46,3051026.94,2366543.25,684483.69,14,10.73,0.1655,0.2973,0.5372,976152.512,1753535.6,3168514.378,0
180,Lamlex,6110188.59,4669174.66,1441013.93,3.5,1357667,955207.01,402459.99,,,,,Consumer Products & Services,"Sells heating and cooling equipment directly to homeowners, offering product choice, detailed information to help make that choice, and transparent pricing for appliances and installation.",22,IL,Buffalo Grove,Chicago,2018,,,,,2,,0.208,0.233,0.559,971188.329,1087917.696,2610068.635,0
181,Kanware,7402217.48,2519702.08,4882515.4,3.59,1611459,649837.83,961621.17,,,,,Advertising & Marketing,"Partners with clients to generate more website visits, leads, and customers.",17,AZ,Scottsdale,Phoenix,2018,,,,,2,,0.2975,0.2158,0.4867,749611.369,543751.709,1226339.002,0
182,Rankfind,11210769.07,1837223.32,9373545.75,7.84,1268659,234353.57,1034305.43,6.14,177683.33,31939.64,145743.69,Government Services,A certified small disadvantaged business that provides IT consulting and services such as as systems integration and management consulting.,101,VA,Fairfax,"Washington, DC",2017,62.09,4219037.13,701172.18,3517864.96,3,31.045,0.2855,0.221,0.4935,524527.258,406026.354,906669.708,1
183,Fixcan,12184060.71,4600155.91,7583904.8,2.69,3301791,2513054.69,788736.31,2.24,1019071.3,1100365.11,-81293.81,Retail,"Sells plantation shutters, blinds, shades and other window treatments to homeowners in Atlanta, GA and Charlotte, NC.",3,GA,Atlanta,Atlanta,2013,10.96,5501641,2737858.57,2763782.43,7,5.48,0.2716,0.262,0.4664,1249402.345,1205240.848,2145512.716,0
184,Technodexon,12554382.66,3538666.94,9015715.73,4.93,2116498,467802.4,1648695.6,3.66,454184.12,233130.06,221054.06,Software,"Provides a suite of lead management tools, including e-mail, fax and sales work-flow management built into contact management software, that improve lead contact rates by up to 65 percent.",327,UT,Provo,"Provo-Orem, UT",2010,26.64,5041688.26,1413199.8,3628488.46,10,13.32,0.2773,0.2241,0.4986,981272.342,793015.261,1764379.336,1
185,Vaialane,12532632.25,6148450.63,6384181.61,4.6,2236215,1225777.13,1010437.87,5.99,319916.31,162669.77,157246.54,Media,"Publishes, markets and fulfills orders for products, publications and services in the self-defense and personal protection industries.",45,WI,West Bend,"Milwaukee-Waukesha-West Allis, WI",2014,38.17,5029587.85,2512299.18,2517288.67,6,19.085,0.274,0.3185,0.4075,1684675.473,1958281.526,2505493.632,0
186,Donjob,12439694.65,7039095.88,5400598.77,3.69,2652722,1346848.25,1305873.75,1.89,917896.89,458031.09,459865.8,Business Products & Services,"Serves church leaders by providing coaching and resources to improve their sermons, recruit & train volunteers and increase fundraising.",8,GA,Cumming,Atlanta,2017,12.55,5336771.18,2947991.74,2388779.44,3,6.275,0.2763,0.253,0.4707,1944902.192,1780891.258,3313302.431,0
187,Fincorporation,11511148.09,1778029.69,9733118.4,4.57,2066014,271092.62,1794921.38,4.67,364376.37,57922.63,306453.74,Advertising & Marketing,"Creates personality-driven, direct response advertising campaigns for retail automotive dealerships in the United States and Canada.",33,FL,Orlando,"Orlando, FL",2016,30.59,4647179.49,702348.31,3944831.17,4,15.295,0.166,0.3158,0.5182,295152.929,561501.776,921374.985,1
188,Techlux,8800945.76,2141374.37,6659571.39,5.85,1284803,274323.35,1010479.65,5.03,213068.49,42594.46,170474.03,Telecommunications,Provides business class voice services in Western New York.,8,NY,Buffalo,"Buffalo-Niagara Falls, NY",2016,40.31,3432939.08,819430.73,2613508.36,4,20.155,0.1556,0.2587,0.5857,333197.852,553973.55,1254202.969,0
189,Sun-In,8375924,5299483,3076441.01,4.6,1496171,2360177.6,-864006.6,3.51,331745.23,534814.45,-203069.22,Advertising & Marketing,A performance marketing technology company that connects customers and service providers through its online marketing cloud.,78,CA,san diego,San Diego,2014,24.25,3401280.08,2731491.68,669788.4,6,12.125,0.2771,0.2178,0.5051,1468486.739,1154227.397,2676768.863,0
190,Hatit,10935075.11,1818535.53,9116539.57,2.03,3605650,1128301.46,2477348.54,2.28,1099283.54,493226.74,606056.8,Food & Beverage,"Offers artisan-style pizzas Made-On-Demand"" using organic fresh-pressed dough and signature sauces. Customers can create their own pizzas and salads",353,WA,Bellevue,Seattle,2016,8.95,5213336.22,1146687.91,4066648.3,4,4.475,0.2345,0.3438,0.4217,426446.582,625212.515,766876.433,0
191,Tamtex,11205036.37,2840144.08,8364892.3,3.7,2382446,794481.61,1587964.39,1.69,885667.66,307154.27,578513.39,Government Services,"Provides high-level analysis and management services to the government and private sectors, including organizational and workforce analysis, competency modeling & management and project management.",98,VA,Fredericksburg,"Washington, DC",2013,11.65,4824383.34,1313926.65,3510456.69,7,5.825,0.2377,0.3092,0.4531,675102.248,878172.55,1286869.283,1
192,Itquadlab,8198521.64,6950350.5,1248171.15,4.06,1619732,1238396.82,381335.18,3.81,336742.62,221561.99,115180.63,Government Services,A VA-certified veteran-owned small business that specializes in providing acquisition management and program management support to the federal government.,120,VA,Arlington,"Washington, DC",2016,23.35,3384998.75,2803436.44,581562.32,4,11.675,0.281,0.296,0.423,1953048.491,2057303.748,2939998.261,0
193,Bluefan,8789561.22,7224844.11,1564717.11,5.5,1351620,1308754.77,42865.23,4.92,228314.19,289005.95,-60691.76,Advertising & Marketing,"Provides on-screen advertising, in-lobby promotions, and marketing services in independent theatre circuits in the US. The BeforeTheMovie pre-show now airs to more than 12 million viewers annually and the company represents theatrical exhibitor partners in 13 states with more than 500 screens.",9,CA,Fairfield,"Vallejo-Fairfield, CA",2013,37.5,3456498.47,2940868.28,515630.19,7,18.75,0.2238,0.229,0.5472,1616920.112,1654489.301,3953434.697,0
